iteration,clf__alpha,clf__l1_ratio,clf__n_iter,kbest__percentile,vec__max_df,vec__min_df,vec__ngram_range,vec__sublinear_tf,scores_10_fold_cv
107,6.16E-05,0.973917357,20,86.90446071,0.91332684,2,"(1, 1)",FALSE,0.940879951
108,3.84E-06,0.113620952,75,81.81416797,0.878444013,1,"(1, 2)",TRUE,0.965099198
109,1.96E-07,0.433665224,40,91.97022174,0.814557314,2,"(1, 3)",FALSE,0.953835607
110,1.23E-05,0.063088626,65,84.65880243,0.958888402,3,"(1, 2)",TRUE,0.962746329
111,2.07E-06,0.027963289,60,94.72670758,0.844156315,2,"(1, 3)",TRUE,0.964029083
112,4.20E-05,0.22407862,55,98.15087303,0.886180858,2,"(1, 2)",FALSE,0.962582743
113,7.92E-05,0.089956185,75,74.31855478,0.974851893,2,"(1, 1)",TRUE,0.959787553
114,5.47E-06,0.688015565,50,86.36194024,0.852793756,1,"(1, 2)",FALSE,0.957360015
115,8.89E-06,0.141683777,35,75.98996063,0.904628369,2,"(1, 3)",TRUE,0.963412799
116,5.48E-05,0.205009365,70,73.14511967,0.89589254,2,"(1, 2)",TRUE,0.962976129
117,2.03E-08,0.183490432,60,89.49956117,0.987289346,3,"(1, 3)",FALSE,0.953071776
118,6.35E-08,0.879432125,55,82.52672148,0.937024539,2,"(1, 2)",TRUE,0.953435375
119,2.70E-05,0.245459914,25,78.95128169,0.83488328,2,"(1, 1)",FALSE,0.954952455
120,6.96E-07,0.521875656,30,80.79374144,0.803320839,1,"(1, 2)",TRUE,0.954765087
121,4.13E-07,0.789903875,20,78.01487484,0.929092267,2,"(1, 3)",TRUE,0.953517316
122,2.90E-08,0.756030634,75,88.05211799,0.702241075,2,"(1, 2)",FALSE,0.954276292
123,1.21E-08,0.0467635,40,84.77067096,0.783404851,3,"(1, 3)",TRUE,0.953351519
124,3.61E-05,0.001190651,65,95.96565552,0.954517077,2,"(1, 2)",FALSE,0.964993139
125,1.96E-05,0.123612039,45,97.55386592,0.964888496,2,"(1, 1)",TRUE,0.953408632
126,1.53E-06,0.61240536,60,90.09883539,0.872420823,1,"(1, 2)",TRUE,0.956053892
127,4.88E-05,0.375386475,55,93.72097658,0.762954698,2,"(1, 3)",FALSE,0.960969985
128,7.99E-06,0.289739147,75,99.69602928,0.915042057,2,"(1, 2)",TRUE,0.960701324
129,2.81E-06,0.329932547,70,91.54347676,0.863562159,3,"(1, 3)",FALSE,0.957856016
130,9.20E-08,0.454770224,50,99.9641499,0.947552082,2,"(1, 2)",TRUE,0.955354482
131,3.12E-09,0.069024204,35,83.69673017,0.828796773,2,"(1, 2)",TRUE,0.955514057
